id;name;type;lookface;life;mana;attack_max;attack_min;defence;dexterity;dodge;helmet_type;armor_type;weaponr_type;weaponl_type;attack_range;view_range;escape_life;attack_speed;move_speed;level;attack_user;drop_money;drop_itemtype;size_add;action;run_speed;drop_armet;drop_necklace;drop_armor;drop_ring;drop_weapon;drop_shield;drop_shoes;drop_hp;drop_mp;magic_type;magic_def;magic_hitrate;ai_type;defence2;stc_type;anti_monster;extra_battlelev;extra_exp;extra_damage;species_type;attr_metal;attr_wood;attr_water;attr_fire;attr_earth;vs_callpet;transform_flag;transform_condition;transform_monster;attack_new;defence_new;stable_defence;critical_rate;magic_critical_rate;anti_critical_rate;final_dmg_add;final_dmg_add_mgc;final_dmg_reduce;final_dmg_reduce_mgc;item_drop_rule1;item_drop_rule2;item_drop_rule3;item_drop_rule4;extra_magic_injury;attribute
0001;Pheasant;0001;0231;0033;00;0003;0002;0000;0000;0036;0000;0000;0000;0000;0001;0006;0000;1000;0500;0001;32771;0005;0000;0000;9593200;0500;000;000;000;000;000;000;000;1000000;1001000;0000;0000;0000;0000;10000;01;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0002;Turtledove;0001;0304;0081;00;0006;0005;0000;0000;0037;0000;0000;0000;0000;0001;0006;0000;1000;0500;0007;32771;0012;0000;0000;9593210;0500;000;000;000;000;000;000;001;1000000;1001000;0000;0000;0000;0000;10000;02;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0003;Robin;0001;0132;0122;00;0009;0007;0000;0000;0036;0000;0000;0000;0000;0001;0008;0000;1000;0500;0012;32771;0012;0000;0000;9593220;0500;000;001;000;001;001;099;003;1000000;1001000;0000;0000;0000;0000;10000;03;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0004;Apparition;0001;0233;0202;00;0007;0007;0000;0000;0069;0000;0000;0000;0000;0001;0008;0000;1000;0500;0017;32771;0015;0000;0001;9593230;0500;001;002;001;002;002;099;003;1000000;1001000;0000;0000;0000;0000;10000;04;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0005;Poltergeist;0001;0233;0366;00;0010;0009;0000;0000;0071;0000;0000;0000;0000;0001;0008;0000;1000;0500;0022;32771;0016;0000;0001;9593240;0500;001;003;001;003;003;099;005;1000010;1001010;0000;0000;0000;0000;10000;05;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0006;WingedSnake;0001;0203;0445;00;0012;0011;0000;0000;0073;0000;0000;0000;0000;0001;0008;0000;1000;0500;0027;32771;0020;0000;0001;9593250;0500;002;004;002;004;004;099;005;1000010;1001010;0000;0000;0000;0000;10000;06;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0007;Bandit;0001;0201;0545;00;0015;0013;0000;0000;0075;0000;0000;0000;0000;0001;0008;0000;1000;0500;0032;32771;0023;0000;0001;9593260;0500;003;005;002;005;005;099;007;1000010;1001010;0000;0000;0000;0000;10000;07;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0008;Ratling;0001;0202;0666;00;0019;0017;0000;0000;0078;0000;0000;0000;0000;0001;0008;0000;1000;0500;0037;32771;0027;0000;0001;9593270;0500;003;006;003;006;006;099;007;1000010;1001010;0000;0000;0000;0000;10000;08;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0009;FireSpirit;0001;0202;1219;00;0022;0019;0000;0000;0075;0000;0000;0000;0000;0001;0008;0000;1000;0500;0042;32771;0039;0000;0001;9593280;0500;004;007;003;007;007;000;009;1000020;1001020;0000;0000;0000;0000;10000;09;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0010;Macaque;0001;0156;1467;00;0038;0035;0000;0000;0078;0000;0000;0000;0000;0001;0008;0000;1000;0500;0047;32771;0042;0000;0001;9593310;0500;004;008;004;008;008;001;009;1000020;1001020;0000;0000;0000;0000;10000;10;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0011;GiantApe;0001;0156;1763;00;0049;0044;0000;0000;0079;0000;0000;0000;0000;0001;0008;0000;1000;0500;0052;32771;0045;0000;0002;9593320;0500;005;009;005;009;009;002;011;1000020;1001020;0000;0000;0000;0000;10000;11;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0012;ThunderApe;0001;0103;2124;00;0062;0056;0000;0000;0082;0000;0000;0000;0000;0001;0008;0000;1000;0500;0057;32771;0060;0000;0001;9593330;0500;005;011;005;011;011;003;011;1000020;1001020;0000;0000;0000;0000;10000;12;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0013;Snakeman;0001;0204;3182;00;0077;0070;0000;0000;0083;0000;0000;0000;0000;0001;0008;0000;1000;0500;0062;32771;0067;0000;0001;9593340;0500;006;012;006;012;012;003;013;1000030;1001030;0000;0000;0000;0000;10000;13;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0014;SandMonster;0001;0131;3842;00;0293;0265;0000;0021;0087;0000;0000;0000;0000;0001;0008;0000;1000;0500;0067;32771;0078;0000;0003;9593350;0500;006;013;006;013;013;004;013;1000030;1001030;0000;0000;0000;0000;10000;14;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0015;HillMonster;0001;0105;4908;00;0331;0299;0000;0025;0083;0000;0000;0000;0000;0001;0008;0000;1000;0500;0072;32771;0082;0000;0001;9593360;0500;006;014;006;014;014;004;015;1000030;1001030;0000;0000;0000;0000;10000;15;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0016;RockMonster;0001;0105;5642;00;0393;0355;0000;0025;0086;0000;0000;0000;0000;0001;0008;0000;1000;0500;0077;32771;0099;0000;0001;9593370;0500;007;015;006;015;015;005;015;1000030;1001030;0000;0000;0000;0000;10000;16;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0017;BladeGhost;0001;0200;7786;00;0461;0416;0000;0028;0087;0000;0000;0000;0000;0001;0012;0000;1000;0500;0082;32771;0110;0000;0001;9593380;0500;007;016;007;016;016;006;017;1002000;1001040;0000;0000;0000;0000;10000;17;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0018;Birdman;0001;0205;8952;00;0540;0488;0000;0028;0085;0000;0000;0000;0000;0001;0008;0000;1000;0500;0087;32771;0150;0000;0001;9593400;0500;007;018;007;015;017;006;017;1002000;1001040;0000;0000;0000;0000;10000;18;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0019;HawKing;0001;0205;10293;00;0631;0570;0000;0028;0085;0000;0000;0000;0000;0001;0010;0000;1000;1000;0092;32771;0155;0000;0001;9593410;0500;007;018;007;016;017;007;017;1002000;1001040;0000;0000;0000;0000;10000;19;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0020;TombBat;0001;0206;24472;00;1253;1134;0000;0030;0086;0000;0000;0000;0000;0001;0010;0000;1000;1000;0102;32771;0167;0000;0003;9593460;0500;008;018;008;016;017;007;017;1002010;1002030;0000;0000;0000;0000;10000;20;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0025;BattleGhost;0001;0308;0548;00;0075;0067;0074;0004;0071;0000;0000;0000;0000;0001;0008;0000;1000;1000;0025;32771;0189;0000;0001;98053955;0500;001;003;001;003;003;099;001;1000030;1001010;0000;0000;0000;0000;10000;05;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0030;SmartMonkey;0001;0356;219900;00;0326;0195;0250;0005;0078;0000;0000;0000;0000;0020;0020;0000;1000;0500;0050;819203;0008;0000;0001;98054005;0400;004;008;004;008;008;001;004;1002000;1001020;1001;0070;0100;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0031;RoaringApe;0001;0356;264300;00;0417;0250;0300;0003;0079;0000;0000;0000;0000;0020;0020;0000;1000;0500;0055;819203;0009;0000;0002;98054017;0400;005;009;005;009;009;002;004;1002010;1001020;1150;0070;0100;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0032;SnowApe;0001;0303;318400;00;0528;0317;0350;0005;0082;0000;0000;0000;0000;0020;0020;0000;1000;0500;0060;819203;0010;0000;0001;98054027;0400;005;011;005;011;011;003;005;1002010;1001020;0000;0070;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0033;CrazySnake;0001;0404;477100;00;0657;0394;0400;0003;0083;0000;0000;0000;0000;0020;0020;0000;1000;0500;0065;819203;0012;0000;0001;98054042;0400;006;012;006;012;012;003;005;1002010;1001020;0000;0070;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0034;SandDevil;0001;0131;576000;00;0824;0497;0450;0004;0087;0000;0000;0000;0000;0020;0020;0000;1000;0500;0070;819203;0010;0000;0003;98054387;0400;006;013;006;013;013;004;006;1002010;1001020;0000;0060;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0035;MountMonster;0001;0305;735800;00;0930;0560;0450;0003;0083;0000;0000;0000;0000;0020;0020;0000;1000;0500;0075;819203;0011;0000;0001;98054071;0400;006;014;006;014;014;004;006;1002010;1001020;0000;0060;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0036;StoneGrinder;0001;0305;845900;00;1106;0665;0512;0008;0086;0000;0000;0000;0000;0020;0020;0000;1000;0500;0080;819203;0012;0000;0001;98054101;0400;007;015;006;015;015;005;007;1002010;1001020;0000;0060;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
