currency,op,file,line,npc,method,case,target,amount,hint
Gold,gain,Base/Poker/Structures/PokerTable.cs,1642,,GetWinners,Enums.TableUpdate.Chips,SidePot,((long)Lowest.Value * (long)s2.Count),
Gold,set,Base/Poker/Structures/PokerTable.cs,1654,,GetWinners,Enums.TableUpdate.Chips,SidePot,SidePot.Money * 99 / 100,
CP,spend,Base/PokerHandler.cs,537,,Handler,1,client.Player,(uint)(Respond.RoundPot),
Gold,spend,Base/PokerHandler.cs,541,,Handler,1,client.Player,(uint)(Respond.RoundPot),
CP,spend,Base/PokerHandler.cs,586,,Handler,1,client.Player,(uint)(Table.RequiredPot),
Gold,spend,Base/PokerHandler.cs,590,,Handler,1,client.Player,(uint)(Table.RequiredPot),
CP,spend,Base/PokerHandler.cs,763,,Handler,2,client.Player,(uint)(Table.RequiredPot + Respond.RoundPot),
Gold,spend,Base/PokerHandler.cs,767,,Handler,2,client.Player,(uint)(Table.RequiredPot + Respond.RoundPot),
CP,set,Base/PokerHandler.cs,812,,Handler,32,client.Player,0,
Gold,set,Base/PokerHandler.cs,817,,Handler,32,client.Player,0,
Gold,spend,Base/PokerHandler.cs,884,,Handler,32,client.Player,(uint)Table.LowestMoney + (uint)Table.RequiredPot,
Gold,spend,Base/PokerHandler.cs,889,,Handler,32,client.Player,(uint)Table.LowestMoney,
Gold,spend,Base/PokerHandler.cs,944,,Handler,32,client.Player,(uint)Table.RequiredPot,
CP,spend,Base/PokerHandler.cs,1074,,ShowHand,Poker.Enums.TableState.Unopened,client.Player,Table.MinBet / 2,
Gold,spend,Base/PokerHandler.cs,1078,,ShowHand,Poker.Enums.TableState.Unopened,client.Player,Table.MinBet / 2,
CP,set,Base/PokerHandler.cs,1347,,ShowHand,Poker.Enums.TableState.ShowDown,client.Player,(uint)p.CurrentMoney,
Gold,set,Base/PokerHandler.cs,1371,,ShowHand,Poker.Enums.TableState.ShowDown,client.Player,(uint)p.CurrentMoney,
CP,spend,Base/PokerHandler.cs,1496,,TexasHoldem,Poker.Enums.TableState.Unopened,client.Player,Table.MinBet / 2,
CP,spend,Base/PokerHandler.cs,1498,,TexasHoldem,Poker.Enums.TableState.Unopened,client.Player,Table.MinBet,
CP,spend,Base/PokerHandler.cs,1500,,TexasHoldem,Poker.Enums.TableState.Unopened,client.Player,Table.MinBet / 2,
Gold,spend,Base/PokerHandler.cs,1504,,TexasHoldem,Poker.Enums.TableState.Unopened,client.Player,Table.MinBet / 2,
Gold,spend,Base/PokerHandler.cs,1506,,TexasHoldem,Poker.Enums.TableState.Unopened,client.Player,Table.MinBet,
Gold,spend,Base/PokerHandler.cs,1508,,TexasHoldem,Poker.Enums.TableState.Unopened,client.Player,Table.MinBet / 2,
CP,set,Base/PokerHandler.cs,1780,,TexasHoldem,Poker.Enums.TableState.ShowDown,client.Player,(uint)p.CurrentMoney,
Gold,set,Base/PokerHandler.cs,1804,,TexasHoldem,Poker.Enums.TableState.ShowDown,client.Player,(uint)p.CurrentMoney,
