ID,Nome,Nome original,Qualidade,Slot,Tipo,Nivel,Ouro,CPs,Descricao
194655,Epicof AC Rockets,EpicofACRockets,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
194665,Dynastyof TC Lakers,DynastyofTCLakers,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
194675,Mythof DC Cavaliers,MythofDCCavaliers,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
194685,Legendof BC Warriors,LegendofBCWarriors,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
193225,Prideof Success,PrideofSuccess,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
181305,White Phoenix,WhitePhoenix,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
181315,White Elegance,WhiteElegance,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
181325,White Celestial,WhiteCelestial,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
181335,Wedding Gown,WeddingGown,Normal,Garment,Garment,0,100,675,Wear it on the most joyous occasion in your life for celebrating your marriage.
181345,Colorful Dress,ColorfulDress,Normal,Garment,Garment,0,100,675,You ca0
181355,Dark Wizard,DarkWizard,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
181365,Prairie Wind,PrairieWind,Normal,Garment,Garment,0,100,675,Resplendent dress of the nomadic people in prairie grassland
181375,Songof Tianshan,SongofTianshan,Normal,Garment,Garment,0,100,675,Traditional dress of Uigur Nationality living at the foot of Tianshan mountain.
181385,Royal Dignity,RoyalDignity,Normal,Garment,Garment,0,100,675,Official dress of the royals of the Ch`ing Dynasty.
181395,Ugly Duck,UglyDuck,Normal,Garment,Garment,0,100,675,Delicate and touching like blue or yellow daisy.
181405,Brown Phoenix,BrownPhoenix,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
181415,Brown Elegance,BrownElegance,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
181425,Brown Celestial,BrownCelestial,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
181435,Wedding Gown,WeddingGown,Normal,Garment,Garment,0,100,675,Wear it on the most joyous occasion in your life for celebrating your marriage.
181445,Colorful Dress,ColorfulDress,Normal,Garment,Garment,0,100,675,You can wear it over your armor.
