ID,Nome,Nome original,Niveis
1000,Thunder,Thunder,5
1001,Fire,Fire,4
1005,Cure,Cure,5
1010,Lightning,Lightning,1
1015,Accuracy,Accuracy,1
1020,Shield,Shield,1
1025,Superman,Superman,1
1002,Tornado,Tornado,4
1040,Roar,Roar,1
1045,Fast Blade,FastBlade,5
1046,Scent Sword,ScentSword,5
1125,Volcano,Volcano,1
1050,Revive,Revive,1
1051,Dash,Dash,1
1055,Healing Rain,HealingRain,5
1075,Invisibility,Invisibility,5
1085,Starof Accuracy,StarofAccuracy,5
1090,Magic Shield,MagicShield,5
1095,Stigma,Stigma,5
1100,Pray,Pray,1
1105,Restore,Restore,1
1110,Cyclone,Cyclone,1
1115,Hercules,Hercules,5
1120,Fire Circle,FireCircle,4
1150,Fire Ring,FireRing,8
1160,Bomb,Bomb,4
1165,Fireof Hell,FireofHell,4
1170,Nectar,Nectar,5
1175,Advanced Cure,AdvancedCure,5
1180,Fire Meteor,FireMeteor,8
1190,Spirit Healing,SpiritHealing,3
1195,Meditation,Meditation,3
1250,Wide Strike,WideStrike,10
1260,Speed Gun,SpeedGun,10
1270,Golem,Golem,8
1280,Water Elf,WaterElf,9
1290,Penetration,Penetration,10
1300,Halt,Halt,10
1320,Flying Moon,FlyingMoon,3
1350,Divine Hare,DivineHare,5
1360,Night Devil,NightDevil,5
1380,Dance2,Dance2,1
1385,Dance3,Dance3,1
1390,Dance4,Dance4,1
1395,Dance5,Dance5,1
1400,Dance6,Dance6,1
1405,Dance7,Dance7,1
1410,Dance8,Dance8,1
1415,Battle Dance,BattleDance,1
1416,Triumph,Triumph,1
1417,Step Stomp,StepStomp,1
1418,Moonlight,Moonlight,1
1419,Snow Wind,SnowWind,1
1420,Phoenix,Phoenix,1
1421,Melody,Melody,1
1422,Tipsy,Tipsy,1
1423,Felicity,Felicity,1
3000,Human Messenger,HumanMessenger,1
3001,Winged Snake Msgr,WingedSnakeMsgr,1
3002,Bandit Messenger,BanditMessenger,1
3003,Rat Messenger,RatMessenger,1
3004,Elf Messenger,ElfMessenger,1
3005,Monkey Messenger,MonkeyMessenger,1
3006,Giant Ape Msgr,GiantApeMsgr,1
3007,Thunder Ape Msgr,ThunderApeMsgr,1
3008,Snakeman Msgr,SnakemanMsgr,1
3009,Sand Monster Msgr,SandMonsterMsgr,1
3010,Hill Monster Msgr,HillMonsterMsgr,1
3011,Rock Monster Msgr,RockMonsterMsgr,1
3012,Blade Ghost Msgr,BladeGhostMsgr,1
3013,Birdman Msgr,BirdmanMsgr,1
3014,Hawk Msgr,HawkMsgr,1
3015,Bandit Messenger,BanditMessenger,1
3016,Bat Messenger,BatMessenger,1
3017,Bloody Bat Msgr,BloodyBatMsgr,1
3018,Bull Messenger,BullMessenger,1
3019,Devil Messenger,DevilMessenger,1
3050,Cruel Shade,CruelShade,4
3080,Dodge,Dodge,3
3090,Pervade,Pervade,6
3091,Pervade21,Pervade21,1
3092,Pervade22,Pervade22,1
3093,Pervade23,Pervade23,1
3095,Pervade31,Pervade31,1
3096,Pervade32,Pervade32,1
3097,Pervade33,Pervade33,1
3099,Pervade41,Pervade41,1
3100,Pervade42,Pervade42,1
3101,Pervade43,Pervade43,1
3103,Pervade51,Pervade51,1
