ID,Nome,Nome original,Nivel,Vida,Lookface,Arquivo
3020,Aberrant Evil,AberrantEvil,118,18205,0197,AberrantEvil.ini
3602,Abyss Demon,AbyssDemon,120,50000,0327,AbyssDemon.ini
3145,Agile Rat,AgileRat,112,58110,0442,AgileRat.ini
1409,Alien Ape,AlienApe,92,15432,0503,AlienApe.ini
111,Alien Bandit,AlienBandit,32,600,0201,AlienBandit.ini
40947,Alien Dragon(Elite),AlienDragon(Elite),138,60000000,0950,AlienDragon(Elite).ini
40937,Alien Dragon(Nor.),AlienDragon(Nor.),138,40000000,0950,AlienDragon(Nor.).ini
1413,Alien Serpent,AlienSerpent,112,35050,0244,AlienSerpent.ini
40120,Alluring Witch,AlluringWitch,140,22500000,919,AlluringWitch.ini
2421,Ancient Demon,AncientDemon,1,33,756,AncientDemon.ini
3636,Andrew,Andrew,120,65535,0361,Andrew.ini
40903,Anger Rat,AngerRat,117,61000,202,AngerRat.ini
3628,Angry Beast,AngryBeast,120,50000,0154,AngryBeast.ini
55434417,Angry Blade Ghost,AngryBladeGhost,82,11673,0200,AngryBladeGhost.ini
14335,Ape Leader,ApeLeader,50,5000,0463,ApeLeader.ini
6017,Ape Monster,ApeMonster,60,10200,0103,ApeMonster.ini
678000,Ape Tyrant,ApeTyrant,57,100,0156,ApeTyrant.ini
4,Apparition,Apparition,17,202,0108,Apparition.ini
2133,Arena Sentinel1,ArenaSentinel1,130,15000,900,ArenaSentinel1.ini
2134,Arena Sentinel2,ArenaSentinel2,130,15000,900,ArenaSentinel2.ini
2135,Arena Sentinel3,ArenaSentinel3,120,15000,900,ArenaSentinel3.ini
2136,Arena Sentinel4,ArenaSentinel4,110,15000,900,ArenaSentinel4.ini
2137,Arena Sentinel5,ArenaSentinel5,110,15000,900,ArenaSentinel5.ini
2138,Arena Sentinel6,ArenaSentinel6,100,15000,900,ArenaSentinel6.ini
2139,Arena Sentinel7,ArenaSentinel7,100,15000,900,ArenaSentinel7.ini
2438,Aurora Demon,AuroraDemon,1,33,597,AuroraDemon.ini
7486,Awake Flame Devastator,AwakeFlameDevastator,130,10000000,983,AwakeFlameDevastator.ini
40109,Azure Dragon,AzureDragon,140,500000,711,AzureDragon.ini
40105,Azure Dragon Defender,AzureDragonDefender,140,50000,255,AzureDragonDefender.ini
7,Bandit,Bandit,32,545,0201,Bandit.ini
8202,Bandit Aide,BanditAide,32,1067,0241,BanditAide.ini
2225,Bandit Courier,BanditCourier,98,26680,201,BanditCourier.ini
2226,Bandit Deliverer,BanditDeliverer,100,26680,401,BanditDeliverer.ini
8302,Bandit King,BanditKing,32,30015,0241,BanditKing.ini
66,Bandit L33,BanditL33,33,1635,0601,BanditL33.ini
55,Bandit L97,BanditL97,97,13805,0201,BanditL97.ini
79,Bandit L98,BanditL98,98,27610,0601,BanditL98.ini
1401,Bandit Leader,BanditLeader,52,2643,0201,BanditLeader.ini
2224,Bandit Leader L97,BanditLeaderL97,97,26680,201,BanditLeaderL97.ini
8102,Bandit Messenger,BanditMessenger,32,1067,0241,BanditMessenger.ini
84,Banditti,Banditti,98,26680,0201,Banditti.ini
3634,Banshee,Banshee,120,60460,0252,Banshee.ini
1414,Basilisk,Basilisk,117,60460,0244,Basilisk.ini
8216,Bat Aide,BatAide,102,45000,0246,BatAide.ini
8316,Bat King,BatKing,102,65535,0246,BatKing.ini
8116,Bat Messenger,BatMessenger,102,45000,0246,BatMessenger.ini
25,Battle Ghost,BattleGhost,25,548,0308,BattleGhost.ini
3645,Beast Satan,BeastSatan,120,65535,0200,BeastSatan.ini
38,Bird King,BirdKing,90,1342200,0405,BirdKing.ini
18,Birdman,Birdman,87,8952,0205,Birdman.ini
8213,Birdman Aide,BirdmanAide,87,17342,0245,BirdmanAide.ini
8313,Birdman King,BirdmanKing,87,40327,0245,BirdmanKing.ini
77,Birdman L88,BirdmanL88,88,17905,0605,BirdmanL88.ini
8113,Birdman Msgr,BirdmanMsgr,87,17342,0245,BirdmanMsgr.ini
40110,Black Turtle,BlackTurtle,140,500000,712,BlackTurtle.ini
40107,Black Turtle Defender,BlackTurtleDefender,140,50000,168,BlackTurtleDefender.ini
20012,Blade Devil Envoy,BladeDevilEnvoy,128,65535,0129,BladeDevilEnvoy.ini
20013,Blade Devil King,BladeDevilKing,127,65535,0329,BladeDevilKing.ini
20011,Blade Devil Lord,BladeDevilLord,128,65535,0129,BladeDevilLord.ini
17,Blade Ghost,BladeGhost,82,7786,0200,BladeGhost.ini
8212,Blade Ghost Aide,BladeGhostAide,82,14674,0240,BladeGhostAide.ini
8312,Blade Ghost King,BladeGhostKing,82,33350,0240,BladeGhostKing.ini
76,Blade Ghost L83,BladeGhostL83,83,15572,0200,BladeGhostL83.ini
8112,Blade Ghost Msgr,BladeGhostMsgr,82,14674,0240,BladeGhostMsgr.ini
37,Blade Monster,BladeMonster,85,1167300,0400,BladeMonster.ini
3144,Bladeling,Bladeling,110,33140,0240,Bladeling.ini
3009,Blood Ghost,BloodGhost,118,18205,0200,BloodGhost.ini
56,Bloody Bat,BloodyBat,107,28140,0148,BloodyBat.ini
8217,Bloody Bat Aide,BloodyBatAide,107,50000,0188,BloodyBatAide.ini
81,Bloody Bat L108,BloodyBatL108,108,56280,0548,BloodyBatL108.ini
8117,Bloody Bat Msgr,BloodyBatMsgr,107,50000,0188,BloodyBatMsgr.ini
88,Bloody Devil,BloodyDevil,118,60000,0197,BloodyDevil.ini
91,Bloody King,BloodyKing,110,2814000,0348,BloodyKing.ini
2157,Bloody Shawn,BloodyShawn,95,30000,404,BloodyShawn.ini
3147,Blue Bird,BlueBird,115,38050,0332,BlueBird.ini
22,Blue Cooer,BlueCooer,10,8100,0304,BlueCooer.ini
28,Blue Elf,BlueElf,40,99900,0402,BlueElf.ini
3608,Blue Fiend,BlueFiend,120,50000,0326,BlueFiend.ini
3624,Bone Skeleton,BoneSkeleton,120,50000,0163,BoneSkeleton.ini
2168,Brigand,Brigand,95,14335,201,Brigand.ini
3015,Brutal Bandit,BrutalBandit,78,4545,0201,BrutalBandit.ini
8218,Bull Aide,BullAide,112,55000,0117,BullAide.ini
92,Bull Devil,BullDevil,115,3505000,0317,BullDevil.ini
8318,Bull King,BullKing,112,65535,0117,BullKing.ini
2232,Bull Master,BullMaster,115,45000,317,BullMaster.ini
8118,Bull Messenger,BullMessenger,112,55000,0117,BullMessenger.ini
57,Bull Monster,BullMonster,112,35050,0117,BullMonster.ini
82,Bull Monster L113,BullMonsterL113,113,65535,0517,BullMonsterL113.ini
2163,Caprice Leader,CapriceLeader,63,14113,604,CapriceLeader.ini
3626,Carrion Skeleton,CarrionSkeleton,120,50000,0263,CarrionSkeleton.ini
11007,Castle Bandit,CastleBandit,32,817,0201,CastleBandit.ini
3031,Cateran,Cateran,32,545,0211,Cateran.ini
27,Cateran Boss,CateranBoss,35,81700,0401,CateranBoss.ini
1405,Cateran Leader,CateranLeader,72,7358,0211,CateranLeader.ini
1403,Cateran Soldier,CateranSoldier,62,4771,0401,CateranSoldier.ini
2390,Cave Thief,CaveThief,82,10432,801,CaveThief.ini
6016,Cecrops,Cecrops,60,10200,0204,Cecrops.ini
3021,Cecrops Boss,CecropsBoss,108,14335,0204,CecropsBoss.ini
5054,Centicore,Centicore,122,6794,0179,Centicore.ini
2436,Chaos Demon,ChaosDemon,1,33,327,ChaosDemon.ini
213883,Chaos Guard,ChaosGuard,138,50000000,0275,ChaosGuard.ini
1406,Chief Cateran,ChiefCateran,78,8459,0211,ChiefCateran.ini
7488,City Soldier,CitySoldier,500,50000,900,CitySoldier.ini
3635,Cleansing Devil,CleansingDevil,120,65535,0168,CleansingDevil.ini
7022,Coins Stealer,CoinsStealer,102,38930,519,CoinsStealer.ini
3011,Copper Bird,CopperBird,88,6813,0205,CopperBird.ini
3737,Corn Devil,CornDevil,140,10800000,983,CornDevil.ini
3630,Crazy Beast,CrazyBeast,120,50000,0354,CrazyBeast.ini
3006,Crazy Ghost,CrazyGhost,88,6813,0200,CrazyGhost.ini
33,Crazy Snake,CrazySnake,65,477100,0404,CrazySnake.ini
2169,Crimson Claw,CrimsonClaw,95,14335,910,CrimsonClaw.ini
2170,Crimson Viper,CrimsonViper,100,38000,244,CrimsonViper.ini
3017,Cruel Bandit,CruelBandit,98,9937,0201,CruelBandit.ini
3621,Cruel Bat,CruelBat,120,50000,0257,CruelBat.ini
3606,Crying Serpent,CryingSerpent,120,50000,0255,CryingSerpent.ini
3640,Daphne,Daphne,120,65535,0130,Daphne.ini
40124,Dark Crystalof Fire,DarkCrystalofFire,140,5000000,916,DarkCrystalofFire.ini
40121,Dark Crystalof Sky,DarkCrystalofSky,140,5000000,916,DarkCrystalofSky.ini
40122,Dark Crystalof Wind,DarkCrystalofWind,140,5000000,916,DarkCrystalofWind.ini
20020,Dark Elf,DarkElf,140,20000000,0328,DarkElf.ini
40946,Dark Glutton(Elite),DarkGlutton(Elite),120,55000000,0952,DarkGlutton(Elite).ini
40936,Dark Glutton(Nor.),DarkGlutton(Nor.),120,28000000,0952,DarkGlutton(Nor.).ini
20021,Dark Lady,DarkLady,140,20000000,0228,DarkLady.ini
3739,Dark Spearman,DarkSpearman,120,11600000,0116,DarkSpearman.ini
4145,Darkmoon Demon,DarkmoonDemon,120,5000,0125,DarkmoonDemon.ini
2420,Demon,Demon,1,33,369,Demon.ini
3623,Demon Bat,DemonBat,120,50000,0357,DemonBat.ini
20201,Demon Ghost,DemonGhost,137,98000,0524,DemonGhost.ini
3603,Demon Lord,DemonLord,120,50000,0127,DemonLord.ini
2179,Desert Condor,DesertCondor,47,1401,357,DesertCondor.ini
2392,Desert Thief,DesertThief,82,10472,801,DesertThief.ini
14333,Devil,Devil,1,33,0240,Devil.ini
8219,Devil Aide,DevilAide,117,60460,0197,DevilAide.ini
89,Devil King,DevilKing,120,65000,0197,DevilKing.ini
200,Devil King L120,DevilKingL120,120,65000,0197,DevilKingL120.ini
201,Devil King L122,DevilKingL122,122,65000,0197,DevilKingL122.ini
8119,Devil Messenger,DevilMessenger,117,60460,0197,DevilMessenger.ini
452373,Dukeof Hell,DukeofHell,15,2500000,904,DukeofHell.ini
3618,Earth Hades,EarthHades,120,50000,0360,EarthHades.ini
3004,East Monster,EastMonster,78,4545,0105,EastMonster.ini
5051,Eidolon,Eidolon,123,4108,0266,Eidolon.ini
8204,Elf Aide,ElfAide,42,2401,0242,ElfAide.ini
121,Elf Ape,ElfApe,52,2114,0156,ElfApe.ini
8304,Elf Boss,ElfBoss,42,3002,0442,ElfBoss.ini
29,Elf King,ElfKing,45,182800,0402,ElfKing.ini
8104,Elf Messenger,ElfMessenger,42,2401,0242,ElfMessenger.ini
127,Evil Blade,EvilBlade,82,9338,0200,EvilBlade.ini
10166,Evil Centurion,EvilCenturion,127,200000,0315,EvilCenturion.ini
10167,Evil Executioner,EvilExecutioner,127,150000,0268,EvilExecutioner.ini
8417,Evil Ghost,EvilGhost,103,48944,0274,EvilGhost.ini
3026,Evil Hawk,EvilHawk,1,1000,0205,EvilHawk.ini
8319,Evil Lord,EvilLord,117,65535,0197,EvilLord.ini
3024,Evil Monkey,EvilMonkey,78,4545,0156,EvilMonkey.ini
10168,Evil Scout,EvilScout,127,120000,0154,EvilScout.ini
2180,Evil Spirit,EvilSpirit,47,2100,508,EvilSpirit.ini
3014,Fast Bird,FastBird,118,18205,0205,FastBird.ini
3631,Fearless Beast,FearlessBeast,120,50000,0354,FearlessBeast.ini
3148,Fiend Bat,FiendBat,117,60460,0606,FiendBat.ini
3611,Fiend Lord,FiendLord,120,50000,0126,FiendLord.ini
40901,Fire Bat,FireBat,122,79800,197,FireBat.ini
112,Fire Rat,FireRat,37,800,0202,FireRat.ini
67,Fire Rat L38,FireRatL38,38,1999,0602,FireRatL38.ini
26,Fire Snake,FireSnake,30,66700,0403,FireSnake.ini
3100,Fire Snake Spirit,FireSnakeSpirit,1,500,0403,FireSnakeSpirit.ini
113,Fire Spirit,FireSpirit,42,1500,0202,FireSpirit.ini
68,Fire Spirit L43,FireSpiritL43,43,3658,0602,FireSpiritL43.ini
12314455,Fish Elf,FishElf,37,1000,0130,FishElf.ini
40949,Flame Giant(Elite),FlameGiant(Elite),140,40000000,0924,FlameGiant(Elite).ini
40939,Flame Giant(Nor.),FlameGiant(Nor.),140,60000000,0924,FlameGiant(Nor.).ini
657219,Flame Soldier,FlameSoldier,15,5,326,FlameSoldier.ini
2422,Flood Demon,FloodDemon,1,33,377,FloodDemon.ini
90,Flying Bat,FlyingBat,105,2447200,0406,FlyingBat.ini
21,Flying Rooster,FlyingRooster,3,3300,0304,FlyingRooster.ini
2391,Forest Thief,ForestThief,82,10697,401,ForestThief.ini
20001,Frost Serpent,FrostSerpent,123,65535,0155,FrostSerpent.ini
3615,Fury Ape,FuryApe,120,50000,0225,FuryApe.ini
3620,Fury Bat,FuryBat,120,50000,0157,FuryBat.ini
3005,Fury Ghost,FuryGhost,78,4545,0200,FuryGhost.ini
3646,Fury Satan,FurySatan,120,65535,0104,FurySatan.ini
3627,Fury Skeleton,FurySkeleton,120,50000,0463,FurySkeleton.ini
23,Game Bird,GameBird,15,18300,0332,GameBird.ini
3130,Ganoderma,Ganoderma,140,39796,0140,GanodermaL72.ini
6011,Ghost,Ghost,82,13789,0200,Ghost.ini
8300,Ghost King,GhostKing,22,1334,0108,GhostKing.ini
11,Giant Ape,GiantApe,52,1763,0156,GiantApe.ini
8206,Giant Ape Aide,GiantApeAide,52,3535,0196,GiantApeAide.ini
8306,Giant Ape King,GiantApeKing,52,30015,0196,GiantApeKing.ini
70,Giant Ape L53,GiantApeL53,53,5289,0556,GiantApeL53.ini
8106,Giant Ape Msgr,GiantApeMsgr,52,3535,0196,GiantApeMsgr.ini
20136,Gibbon,Gibbon,140,20000000,0127,Gibbon.ini
3027,Glum Monster,GlumMonster,1,1000,0105,GlumMonster.ini
20211,Gold Box,GoldBox,140,5,0141,GoldBox.ini
3142,Gold Ghost,GoldGhost,108,56180,0308,GoldGhost.ini
3013,Golden Bird,GoldenBird,108,14335,0205,GoldenBird.ini
2700,Golden Octopus,GoldenOctopus,140,600,959,GoldenOctopus.ini
40940,Great Pheasant(Elite),GreatPheasant(Elite),123,10000000,906,GreatPheasant(Elite).ini
40930,Great Pheasant(Nor.),GreatPheasant(Nor.),123,5000000,906,GreatPheasant(Nor.).ini
93,Green Devil,GreenDevil,120,6046000,0397,GreenDevil.ini
20030,Grotto Lady,GrottoLady,127,65535,0130,GrottoLady.ini
900,Guard1,Guard1,200,65535,0900,Guard1.ini
910,Guard2,Guard2,60,5000,0910,Guard2.ini
3120,Guild Beast,GuildBeast,120,65535,0240,GuildBeast.ini
3619,Hades Lord,HadesLord,120,50000,0260,HadesLord.ini
19,Haw King,HawKing,92,10293,0205,HawKing.ini
8214,Hawk Aide,HawkAide,92,20010,0245,HawkAide.ini
8314,Hawk Boss,HawkBoss,92,43712,0245,HawkBoss.ini
78,Hawk L93,HawkL93,93,20586,0605,HawkL93.ini
4431179,Hawk Leader,HawkLeader,93,30864,0605,HawkLeader.ini
8114,Hawk Messenger,HawkMessenger,92,20010,0245,HawkMessenger.ini
20051,Headless General,HeadlessGeneral,128,65535,0151,HeadlessGeneral.ini
20050,Headless Soldier,HeadlessSoldier,127,65535,0251,HeadlessSoldier.ini
2435,Heaven Demon,HeavenDemon,1,33,266,HeavenDemon.ini
64,Heavy Ghost L23,HeavyGhostL23,23,731,0508,HeavyGhostL23.ini
5056,Hell Troll,HellTroll,123,20368,0353,HellTroll.ini
40907,Hellfire Beast,HellfireBeast,135,95000,276,HellfireBeast.ini
14338,Heresy Elder,HeresyElder,62,9500,0244,HeresyElder.ini
3050,Heresy Snakeman,HeresySnakeman,62,3182,0404,HeresySnakeman.ini
15,Hill Monster,HillMonster,72,4908,0105,HillMonster.ini
8210,Hill Monster Aide,HillMonsterAide,72,9338,0145,HillMonsterAide.ini
8310,Hill Monster King,HillMonsterKing,72,31349,0145,HillMonsterKing.ini
74,Hill Monster L73,HillMonsterL73,73,14723,0505,HillMonsterL73.ini
8110,Hill Monster Msgr,HillMonsterMsgr,72,9338,0145,HillMonsterMsgr.ini
3632,Hill Spirit,HillSpirit,120,50000,0153,HillSpirit.ini
1407,Huge Ape,HugeApe,82,11673,0156,HugeApe.ini
1400,Huge Snake,HugeSnake,42,1828,0203,HugeSnake.ini
