UID,Nome,Fonte do nome,Confianca,Tipo,Mesh,Mapa ID,Mapa,X,Y,Origem
3601,Arthur,NpcID enum (codigo),medium,Talker,2177,1700,Gulf,607,637,Npcs.txt
3623,Stanley,NpcID enum (codigo),medium,Shop,2350,1700,Gulf,617,639,Npcs.txt
3623,Stanley,NpcID enum (codigo),medium,Talker,2350,1700,Gulf,617,639,Npcs.txt
600003,Maggie,NpcID enum (codigo),medium,Talker,6100,1042,lineup-pass,19,19,Npcs.txt
600005,Ghost 1043,NpcID enum (codigo),medium,Talker,6127,1043,lineup,6,66,Npcs.txt
600011,Ghost 1046,NpcID enum (codigo),medium,Talker,6127,1046,lineup,6,66,Npcs.txt
600007,Ghost 1044,NpcID enum (codigo),medium,Talker,6127,1044,lineup,6,66,Npcs.txt
600009,Ghost 1045,NpcID enum (codigo),medium,Talker,6127,1045,lineup,6,66,Npcs.txt
600015,Ghost 1048,NpcID enum (codigo),medium,Talker,6127,1048,lineup,6,66,Npcs.txt
600013,Ghost 1047,NpcID enum (codigo),medium,Talker,6127,1047,lineup,6,66,Npcs.txt
770011,Pole Domination AC,NpcID enum (codigo),medium,Talker,7717,1020,canyon,574,620,Npcs.txt
770021,Pole Domination BI,NpcID enum (codigo),medium,Talker,7717,1015,island,720,561,Npcs.txt
770031,Pole Domination DC,NpcID enum (codigo),medium,Talker,7717,1000,desert,499,716,Npcs.txt
770041,Pole Domination PC,NpcID enum (codigo),medium,Talker,7717,1011,woods,260,285,Npcs.txt
600018,Vagrant Ghost 1,NpcID enum (codigo),medium,Talker,6132,1050,lineup,184,165,Npcs.txt
600019,Vagrant Ghost 2,NpcID enum (codigo),medium,Talker,6132,1050,lineup,160,161,Npcs.txt
600020,Vagrant Ghost 3,NpcID enum (codigo),medium,Talker,6132,1050,lineup,132,124,Npcs.txt
600021,Vagrant Ghost 4,NpcID enum (codigo),medium,Talker,6132,1050,lineup,183,187,Npcs.txt
600022,Vagrant Ghost 5,NpcID enum (codigo),medium,Talker,6132,1050,lineup,100,109,Npcs.txt
600023,Vagrant Ghost 6,NpcID enum (codigo),medium,Talker,6132,1050,lineup,81,103,Npcs.txt
600050,Fortuneteller,Questinfo.ini (NPC citado na quest),high,Talker,6206,1002,newplain,41,417,Npcs.txt
4293,Mine Assistant,Questinfo.ini (NPC citado na quest),high,Talker,18096,1002,newplain,46,395,Npcs.txt
103011,Leave Spook,NpcID enum (codigo),medium,Talker,7190,2090,tiger01,56,23,Npcs.txt
9391,Pirate Lord,Questinfo.ini (NPC citado na quest),high,Talker,50070,1004,forum,65,33,Npcs.txt
5053,Scarecrow,SobNpcs.txt,high,Talker,9720,5000,mine-one,456,346,Npcs.txt
5054,Scarecrow,SobNpcs.txt,high,Talker,48594,5000,mine-one,50,51,Npcs.txt
5057,Scarecrow,SobNpcs.txt,high,Talker,48496,5000,mine-one,70,70,Npcs.txt
770005,Classic Clan War,NpcID enum (codigo),medium,Talker,9350,1002,newplain,424,247,Npcs.txt
8592,Skill Team Pk Manager,NpcID enum (codigo),medium,Talker,11220,1002,newplain,441,241,Npcs.txt
770004,Monster Points,Questinfo.ini (NPC citado na quest),high,Talker,7046,1002,newplain,435,450,Npcs.txt
4026312,Exit Capture The Flag,NpcID enum (codigo),medium,Talker,317,2057,bp-flag,482,367,Npcs.txt
168052,Exit Elite Pk,NpcID enum (codigo),medium,Talker,317,2068,pk,46,45,Npcs.txt
8616,Lead Wrangler,NpcID enum (codigo),medium,Talker,11280,1004,forum,69,40,Npcs.txt
81701,Couples PK,NpcID enum (codigo),medium,Talker,2910,1002,newplain,422,289,Npcs.txt
1153,Lab1,NpcID enum (codigo),medium,Talker,6520,1351,s-task01,489,372,Npcs.txt
1154,Lab2,NpcID enum (codigo),medium,Talker,6520,1352,s-task02,670,465,Npcs.txt
1155,Lab3,NpcID enum (codigo),medium,Talker,6520,1353,s-task03,790,545,Npcs.txt
