ID,Nome,Fonte do nome,Confianca,Lv min,Lv max,NPC inicio,NPC fim,Premio,Refs no codigo,No codigo,Em saves,Arquivos
0,Quest 0,sugerido (sem nome no cliente),placeholder,,,,,,2,sim,19,Game/MsgServer/MsgItemUsuagePacket.cs
1,Collect Letters,Questinfo.ini (servidor),high,8,50,"2001,1002,0435,0438,TCCaptain,TwinCity","0004,1002,0412,0366,Armorer,TwinCity","EXP:  1000   [item 130007,0,0,0,3,0,0]",2,sim,45,Game/MsgNpc/NpcHandler.cs
2,"10,000 Kills",Questinfo.ini (servidor),high,8,50,"0004,1002,0412,0366,Armorer,TwinCity","0001,1002,0415,0351,Storekeeper,TwinCity","EXP:  1000   [item 120006,0,0,0,3,0,0][item 150016,0,0,0,3,0,0][item 160016,0,0,0,3,0,0]",0,nao,115,
3,"300,000 Kills",Questinfo.ini (servidor),high,8,50,"0001,1002,0415,0351,Storekeeper,TwinCity","0003,1002,0466,0327,Pharmacist,TwinCity","EXP:  1000  Item:  StanchersX3  [item 1000000,0,0,0,0,0,0]",0,nao,115,
4,Collect Fruits,Questinfo.ini (servidor),high,8,50,"0003,1002,0466,0327,Pharmacist,TwinCity","0005,1002,0452,0330,Blacksmith,TwinCity",,1,sim,57,Game/MsgNpc/NpcHandler.cs
5,City Quest,Questinfo.ini (servidor),high,8,50,"2001,1002,0435,0438,TCCaptain,TwinCity","0004,1002,0412,0366,Armorer,TwinCity","EXP:  1000  [item 131007,0,0,0,3,0,0]",1,sim,37,Game/MsgNpc/NpcHandler.cs
10,Steed Riding,client Questinfo.ini,high,25,50,"5600,1002,0388,0386,MountTrainer,TwinCity","5517,1006,0019,0029,MountRetailer,Stall",EXP: 1/12 of an EXP Ball,3,sim,0,Game/MsgNpc/NpcHandler.cs
11,Quiz Show,client Questinfo.ini,high,30,50,"6168,1036,316,246,QuizHolder,Market","6168,1036,316,246,QuizHolder,Market",EXP: 2/15 or 11/60 of an EXP Ball,20,sim,0,Game/MsgNpc/NpcHandler.cs
401,Attack Talisman II,client Questinfo.ini,high,100,120,"4582,1011,788,456,VillagerChou,PhoenixCastle","4582,1011,788,456,VillagerChou,PhoenixCastle","100 Silver  \n=======================================\nFinalReward:  \nSuper Heaven Fan(B)  [item 201009,0,0,0,3,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
404,Attack Talisman V,client Questinfo.ini,high,100,120,"4583,1000,490,618,KunlunWanderer,DesertCity","4583,1000,490,618,KunlunWanderer,DesertCity","100 Silver  \n=======================================\nFinalReward:  \nSuper Heaven Fan(B)  [item 201009,0,0,0,3,0,0]",5,sim,0,Game/MsgMonster/MonsterRole.cs; Game/MsgServer/MsgItemUsuagePacket.cs
